"";"sg_empresa_icao";"nm_empresa";"sg_icao_origem";"sg_icao_destino";"sg_equipamento_icao";"nr_assentos_ofertados";"dt_partida_prevista_bsb";"hr_partida_prevista_bsb";"dt_chegada_prevista_bsb";"hr_chegada_prevista_bsb";"nr_voo";"semana";"h";"turno";"rota";"semana_chegada";"h_chegada";"turno_chegada";"embarques_preditos";"excedente";"saldo";"id_linha";"data_atualizacao"
"1";"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2023-02-07;"22:36:00";2023-02-08;"08:35:00";"0963";"terça-feira";22;"noite";"KDFW-SBGR";"quarta-feira";8;"manha";236;59;236;1;2023-02-07 04:18:10
"2";"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2023-02-08;"22:36:00";2023-02-09;"08:35:00";"0963";"quarta-feira";22;"noite";"KDFW-SBGR";"quinta-feira";8;"manha";237;58;237;2;2023-02-07 04:18:10
"3";"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2023-02-09;"22:36:00";2023-02-10;"08:35:00";"0963";"quinta-feira";22;"noite";"KDFW-SBGR";"sexta-feira";8;"manha";238;57;238;3;2023-02-07 04:18:10
"4";"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2023-02-10;"22:36:00";2023-02-11;"08:35:00";"0963";"sexta-feira";22;"noite";"KDFW-SBGR";"sábado";8;"manha";239;56;239;4;2023-02-07 04:18:10
"5";"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2023-02-11;"22:36:00";2023-02-12;"08:35:00";"0963";"sábado";22;"noite";"KDFW-SBGR";"domingo";8;"manha";238;57;238;5;2023-02-07 04:18:10
"6";"AAL";"AMERICAN AIRLINES, INC.";"KDFW";"SBGR";"B789";295;2023-02-12;"22:36:00";2023-02-13;"08:35:00";"0963";"domingo";22;"noite";"KDFW-SBGR";"segunda-feira";8;"manha";241;54;241;6;2023-02-07 04:18:10
"7";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGL";"B772";288;2023-02-09;"00:00:00";2023-02-09;"09:35:00";"0973";"quinta-feira";0;"madrugada";"KJFK-SBGL";"quinta-feira";9;"manha";233;55;233;7;2023-02-07 04:18:10
"8";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGL";"B772";288;2023-02-11;"00:00:00";2023-02-11;"09:35:00";"0973";"sábado";0;"madrugada";"KJFK-SBGL";"sábado";9;"manha";232;56;232;8;2023-02-07 04:18:10
"9";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGR";"B77W";318;2023-02-07;"00:59:00";2023-02-07;"10:25:00";"0951";"terça-feira";0;"madrugada";"KJFK-SBGR";"terça-feira";10;"manha";258;60;0;9;2023-02-07 04:18:10
"10";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGR";"B77W";318;2023-02-08;"00:59:00";2023-02-08;"10:25:00";"0951";"quarta-feira";0;"madrugada";"KJFK-SBGR";"quarta-feira";10;"manha";259;59;48;10;2023-02-07 04:18:10
"11";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGR";"B77W";318;2023-02-09;"00:59:00";2023-02-09;"10:25:00";"0951";"quinta-feira";0;"madrugada";"KJFK-SBGR";"quinta-feira";10;"manha";261;57;130;11;2023-02-07 04:18:10
"12";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGR";"B77W";318;2023-02-10;"00:59:00";2023-02-10;"10:25:00";"0951";"sexta-feira";0;"madrugada";"KJFK-SBGR";"sexta-feira";10;"manha";262;56;167;12;2023-02-07 04:18:10
"13";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGR";"B77W";318;2023-02-11;"00:59:00";2023-02-11;"10:25:00";"0951";"sábado";0;"madrugada";"KJFK-SBGR";"sábado";10;"manha";260;58;260;13;2023-02-07 04:18:10
"14";"AAL";"AMERICAN AIRLINES, INC.";"KJFK";"SBGR";"B77W";318;2023-02-12;"00:59:00";2023-02-12;"10:25:00";"0951";"domingo";0;"madrugada";"KJFK-SBGR";"domingo";10;"manha";263;55;263;14;2023-02-07 04:18:10
"15";"AAL";"AMERICAN AIRLINES, INC.";"KMIA";"SBGL";"B788";295;2023-02-07;"21:45:00";2023-02-08;"06:20:00";"0905";"terça-feira";21;"noite";"KMIA-SBGL";"quarta-feira";6;"manha";230;65;230;15;2023-02-07 04:18:10
